Algorithm,Allocation,Processes,MessageSize,Latency, MinLatency, MaxLatency
Default,socket,4,524288,168.25,160.41,174.14
Default,socket,4,1048576,517.31,218.27,676.18
Default,socket,6,1,0.84,0.36,1.21
Default,socket,6,2,0.82,0.35,1.20
Default,socket,6,4,0.82,0.35,1.19
Default,socket,6,8,0.81,0.34,1.18
Default,socket,6,16,0.82,0.35,1.18
Default,socket,6,32,1.00,0.38,1.41
Default,socket,6,64,0.99,0.49,1.47
Default,socket,6,128,1.51,0.73,2.08
Default,socket,6,256,1.55,0.75,2.13
Default,socket,6,512,1.71,0.78,2.34
Default,socket,6,1024,2.06,0.94,2.67
Default,socket,6,2048,3.05,1.94,3.76
Default,socket,6,4096,4.19,2.76,5.18
Default,socket,6,8192,8.30,5.21,11.92
Default,socket,6,16384,10.72,7.63,12.69
Default,socket,6,32768,18.99,13.76,21.61
Default,socket,6,65536,35.54,32.51,38.15
Default,socket,6,131072,68.13,65.13,71.19
Default,socket,6,262144,134.67,132.44,138.88
Default,socket,6,524288,278.17,269.52,287.77
Default,socket,6,1048576,946.35,263.44,1380.88
Default,socket,8,1,0.97,0.64,1.46
Default,socket,8,2,0.92,0.62,1.39
Default,socket,8,4,0.90,0.60,1.36
Default,socket,8,8,0.93,0.44,1.29
Default,socket,8,16,0.90,0.45,1.22
Default,socket,8,32,1.27,0.55,1.85
Default,socket,8,64,1.14,0.63,1.83
Default,socket,8,128,1.88,1.26,2.90
Default,socket,8,256,1.94,1.30,2.96
Default,socket,8,512,2.11,1.39,3.22
Default,socket,8,1024,2.52,1.81,3.77
Default,socket,8,2048,3.45,2.63,5.04
Default,socket,8,4096,4.78,2.31,6.18
Default,socket,8,8192,7.32,3.62,9.36
Default,socket,8,16384,13.60,8.01,19.02
Default,socket,8,32768,23.03,14.94,27.95
Default,socket,8,65536,45.14,33.70,51.32
Default,socket,8,131072,90.54,78.31,98.85
Default,socket,8,262144,183.10,165.23,195.56
Default,socket,8,524288,365.17,348.13,385.50
Default,socket,8,1048576,639.52,564.77,692.13
Default,socket,10,1,1.17,0.59,1.82
Default,socket,10,2,1.12,0.57,1.73
Default,socket,10,4,1.08,0.57,1.66
Default,socket,10,8,1.18,0.40,1.49
Default,socket,10,16,1.18,0.40,1.50
Default,socket,10,32,1.49,0.43,1.96
Default,socket,10,64,1.32,0.65,2.06
Default,socket,10,128,2.03,0.94,3.17
Default,socket,10,256,2.07,1.01,3.18
Default,socket,10,512,2.29,1.05,3.58
Default,socket,10,1024,2.78,1.46,4.16
Default,socket,10,2048,3.71,1.85,5.49
Default,socket,10,4096,5.59,2.27,7.01
Default,socket,10,8192,8.39,3.51,10.78
Default,socket,10,16384,16.10,9.52,23.07
Default,socket,10,32768,26.67,12.42,32.09
Default,socket,10,65536,53.12,32.48,60.06
Default,socket,10,131072,106.10,80.85,116.20
Default,socket,10,262144,213.64,183.00,229.24
Default,socket,10,524288,430.19,391.22,456.27
Default,socket,10,1048576,788.59,691.72,836.56
Default,socket,12,1,0.94,0.38,1.66
Default,socket,12,2,0.97,0.48,1.69
Default,socket,12,4,0.99,0.54,1.72
Default,socket,12,8,1.16,0.40,1.59
Default,socket,12,16,1.17,0.40,1.61
Default,socket,12,32,1.45,0.45,1.97
Default,socket,12,64,1.29,0.61,2.17
Default,socket,12,128,1.98,1.23,3.13
Default,socket,12,256,2.02,1.28,3.13
Default,socket,12,512,2.24,1.34,3.51
Default,socket,12,1024,2.82,1.92,4.02
Default,socket,12,2048,3.82,2.84,5.40
Default,socket,12,4096,5.75,2.28,6.97
Default,socket,12,8192,8.64,3.54,10.50
Default,socket,12,16384,17.34,9.27,24.78
Default,socket,12,32768,32.41,13.86,39.54
Default,socket,12,65536,65.28,38.43,74.73
Default,socket,12,131072,132.21,99.14,146.27
Default,socket,12,262144,266.18,225.20,288.11
Default,socket,12,524288,487.87,393.22,535.11
Default,socket,12,1048576,900.98,748.20,968.51
Default,socket,14,1,1.45,1.01,2.36
Default,socket,14,2,1.07,0.68,1.97
