Algorithm,Allocation,Processes,MessageSize,Latency
Linear_Nb,core,35,256,8.02
Linear_Nb,core,35,512,10.60
Linear_Nb,core,35,1024,13.44
Linear_Nb,core,35,2048,16.29
Linear_Nb,core,35,4096,21.97
Linear_Nb,core,35,8192,60.88
Linear_Nb,core,35,16384,22.45
Linear_Nb,core,35,32768,44.18
Linear_Nb,core,35,65536,78.36
Linear_Nb,core,35,131072,153.36
Linear_Nb,core,35,262144,178.31
Linear_Nb,core,35,524288,307.50
Linear_Nb,core,35,1048576,552.84
Linear_Nb,core,36,1,3.75
Linear_Nb,core,36,2,3.88
Linear_Nb,core,36,4,3.94
Linear_Nb,core,36,8,5.25
Linear_Nb,core,36,16,4.57
Linear_Nb,core,36,32,5.07
Linear_Nb,core,36,64,5.79
Linear_Nb,core,36,128,6.53
Linear_Nb,core,36,256,7.97
Linear_Nb,core,36,512,10.59
Linear_Nb,core,36,1024,13.36
Linear_Nb,core,36,2048,16.54
Linear_Nb,core,36,4096,22.47
Linear_Nb,core,36,8192,59.70
Linear_Nb,core,36,16384,22.76
Linear_Nb,core,36,32768,44.29
Linear_Nb,core,36,65536,92.22
Linear_Nb,core,36,131072,129.57
Linear_Nb,core,36,262144,242.62
Linear_Nb,core,36,524288,335.95
Linear_Nb,core,36,1048576,611.78
Linear_Nb,core,37,1,3.64
Linear_Nb,core,37,2,3.73
Linear_Nb,core,37,4,3.75
Linear_Nb,core,37,8,5.04
Linear_Nb,core,37,16,4.44
Linear_Nb,core,37,32,4.99
Linear_Nb,core,37,64,5.78
Linear_Nb,core,37,128,6.52
Linear_Nb,core,37,256,7.90
Linear_Nb,core,37,512,10.20
Linear_Nb,core,37,1024,13.18
